Date,Show,Location,Ticket Link
8/2/26,WKCR 89.9 FM Live Performance/Interview,"New York, NY",
7/12/26,Gold Sounds,"New York, NY",
6/14/26,Flag Fest 3: Arlene's Grocery,"New York, NY",
5/25/26,Danstock Night #3,"New York, NY",
4/22/26,Bar Freda,"New York, NY",
2/21/26,The Delancey,"New York, NY",
12/31/25,Arlene's Grocery,"New York, NY",
8/16/25,Jamaica Plain Porchfest,"Boston, MA",
8/9/25,Arlene's Grocery,"New York, NY",
6/21/25,Fenway Porchfest,"Boston, MA",
6/14/25,Flag Fest 2: 6 Sunset Pl.,"Boston, MA",
5/10/25,WRBB 104.9 FM Prom,"Brookline, MA",
5/4/25,Live! From Whole Foods!,"Boston, MA",
4/6/25,The Jungle,"Somerville, MA",
3/22/25,Harvard Coop,"Cambridge, MA",
2/10/25,Free Eric Adams Jamboree,"Northeastern University, Boston, MA",
12/8/24,O'Briens Pub,"Allston, MA",
12/6/24,O'Briens Pub,"Allston, MA",
10/9/24,The Silhouette,"Allston, MA",
9/5/24,Tastemakers Photo Tutorial,"Northeastern University, Boston, MA",
6/14/24,Flag Fest 1: 1568 Tremont Ave.,"Boston, MA",
2/24/24,Junkyard,"Boston, MA",
10/6/23,Climate Justice Jam,"Northeastern University, Boston, MA",
